Word,Video_Count
LOOK,59
DRESS/CLOTHES,19
SAME,18
FIFTH,17
ART/DESIGN,16
EXCUSE,16
INFORM,16
EAT,15
CUTE,15
BUILD,14
BROTHER,14
COLLECT,14
SILLY,14
MAN,13
MACHINE,13
SHOW,13
REPLACE,13
DEVIL/MISCHIEVOUS,12
SHELF/FLOOR,12
AFRAID,12
PAST,12
ADVISE/INFLUENCE,12
COPY,12
CANCEL/CRITICIZE,12
BIG,12
GOVERNMENT,12
GUITAR,12
COUCH,11
COME,11
ANSWER,11
TOTAL,11
DRINK,11
DRIP,11
LIVE,11
INCLUDE/INVOLVE,11
AGAIN,11
INJECT,11
VACATION,11
GET-TICKET,11
EXPERT,11
APPOINTMENT,11
COP,11
FACE,11
WORK-OUT,11
HAPPY,11
TOUGH,11
CAMP,11
FED-UP/FULL,11
NICE/CLEAN,11
NEAR,11
DIRECT,11
FIRE/BURN,10
GOLD/ns-CALIFORNIA,10
FINGERSPELL,10
WEEKEND,10
BUSY/BUSINESS,10
BOSS,10
BLAME,10
CITY/COMMUNITY,10
DATE/DESSERT,10
ISLAND/INTEREST,10
DEVELOP,10
IX,10
DEPRESS,10
RUN,10
IN,10
BORROW/LEND,10
STAND-UP,10
(U)BOWTIE,10
MARRY,10
DOCTOR,10
GO,10
DECREASE,10
DISAPPOINT,10
CHAT,10
MAD,10
POSS,10
WALK,10
EMPHASIZE,10
DISCUSS,10
EITHER,9
FAR,9
MEDICINE,9
RESEARCH,9
NINETEEN,9
ENTER,9
ACTION,9
LETTER/MAIL,9
LESS,9
PROCEED,9
CONFLICT/INTERSECTION,9
MISUNDERSTAND,9
ns-BOSTON,9
FLAT-TIRE,9
GROUND,9
APPLAUSE,9
EASY,9
SELF,9
DISMISS,9
HIT,9
DISCONNECT,9
DOWN,9
COURT,9
DIPLOMA,9
COUNTRY,9
BLANKET,9
HELP,9
HELLO,9
DRY,9
STORY,9
BRING/CARRY,9
HAMMER,9
A-LOT,9
GOAL,8
GUILTY,8
CAN,8
MILLION/BILLION,8
CHILD,8
HALLOWEEN,8
FILE,8
AVOID/FALL-BEHIND,8
FIGHT,8
ns-EGYPT,8
BOXING,8
NOW,8
BRAVE/RECOVER,8
HANGER,8
CALL-ON-RELAY/VRS,8
BOTTLE,8
HOME,8
ARRIVE,8
GRADUAL-IMPROVE,8
NOT-MIND,8
