단어,ASLLVD 개수,WLASL 개수,총 개수
DRINK,11,35,46
BOOK,5,40,45
COMPUTER,7,30,37
SAME,18,18,36
GO,10,26,36
EAT,15,19,34
DRESS/CLOTHES,19,15,34
MAN,13,20,33
INFORM,16,17,33
WALK,10,22,32
HELP,9,22,31
CUTE,15,16,31
BROTHER,14,17,31
DEAF,7,23,30
SHOW,13,17,30
LIKE+NEG,8,21,29
NOW,8,21,29
DOCTOR,10,19,29
BEFORE,3,26,29
CANDY,5,24,29
CAN,8,20,28
BLUE,8,20,28
COUSIN,5,23,28
ART/DESIGN,16,12,28
CITY/COMMUNITY,10,18,28
FINE,6,22,28
COPY,12,16,28
WOMAN,7,21,28
SILLY,14,14,28
FINISH,7,21,28
BIRD,8,19,27
RUN,10,17,27
MEDICINE,9,18,27
WRONG,7,20,27
LETTER/MAIL,9,18,27
WHO,2,25,27
PAST,12,15,27
HEARING,7,20,27
AGAIN,11,16,27
(1)WHO,2,25,27
DARK,8,19,27
ENJOY,8,19,27
HAPPY,11,16,27
ALL,6,21,27
GIVE,8,19,27
WORK,8,19,27
GOVERNMENT,12,15,27
FAMILY,6,20,26
DOG,6,20,26
LIKE,5,21,26
ACCIDENT,7,19,26
FULL,8,18,26
PAINT,8,18,26
MOTHER,5,21,26
BOWLING,6,20,26
DECIDE,8,18,26
GRADUATE,6,20,26
BED,6,20,26
BLACK,5,21,26
LIVE,11,15,26
KNIFE,8,17,25
APPLE,6,19,25
"CANDY+DCL\cane\""""",1,24,25
NEAR,11,14,25
DANCE,6,19,25
EAT+NOON,6,19,25
BLANKET,9,16,25
CHEAT,7,18,25
WHITE+(5)FACE,5,20,25
MANY,4,21,25
EAT+NIGHT,6,19,25
HOT,4,21,25
COOL,4,21,25
WANT+NEG,6,19,25
PLAY,6,19,25
BASKETBALL,7,18,25
FORGET,6,19,25
HOW,7,18,25
ORANGE,4,21,25
CHAT,10,15,25
EXCUSE,16,9,25
COW,6,19,25
DISCUSS,10,15,25
BUILD,14,11,25
FAR,9,16,25
PULL,7,18,25
MEET,6,19,25
EAT+MORNING,6,19,25
CANDY+fs-CANE,1,24,25
CAT,8,17,25
NICE/CLEAN,11,14,25
FISH,5,20,25
MOTHER+FATHER,4,21,25
THIN,2,22,24
LIST,8,16,24
FRIEND,8,16,24
BROWN,6,18,24
HAT,4,20,24
WHAT,3,21,24
GUITAR,12,12,24
APPOINTMENT,11,13,24
VACATION,11,13,24
BUY,8,16,24
OLD,8,16,24
HOME,8,16,24
COUNTRY,9,15,24
COLD,8,16,24
BIG,12,12,24
WATER+FLOW_2,6,18,24
YES,2,22,24
KISS,4,20,24
BIRTHDAY,6,18,24
LANGUAGE,4,20,24
YEAR,2,22,24
HAVE,7,17,24
BAR,7,17,24
BLACK+fs-BERRY,2,21,23
DAUGHTER,7,16,23
MACHINE,13,10,23
KNOW+NEG,7,16,23
TALL,3,20,23
LAST,4,19,23
GREEN,6,17,23
PROBLEM,7,16,23
CLASS,6,17,23
ANSWER,11,12,23
CRY,6,17,23
SHORT,4,19,23
MOTHER+LAW,2,21,23
CANCEL/CRITICIZE,12,11,23
KNOW,7,16,23
MARRY,10,13,23
DOOR,6,17,23
ARRIVE,8,15,23
EAT+BOX/ROOM,4,19,23
(1)CHEAT,5,18,23
THANKSGIVING,2,21,23
EASY,9,14,23
CORN,4,19,23
TELL,5,18,23
WEEKEND,10,13,23
STUDY,3,20,23
BRING/CARRY,9,14,23
PINK,4,19,23
COOK/KITCHEN,5,18,23
LEARN,6,17,23
FACE,11,12,23
BUT,5,18,23
COLOR,4,19,23
NOW+(D)DAY,2,21,23
FUTURE,8,15,23
BLACK+BERRY,2,21,23
PIZZA,3,19,22
NAME,6,16,22
BOY,7,15,22
COFFEE,6,16,22
EAT+SELL,3,19,22
BED+CUSHION,2,20,22
BLUE+BERRY,2,20,22
COOK/KITCHEN+AGENT,4,18,22
YELLOW,4,18,22
LAUGH,5,17,22
RIGHT,4,18,22
WATER,4,18,22
FEEL,7,15,22
"WATER+DCL\round flat\""""",4,18,22
WANT,3,19,22
CHANGE,3,19,22
MOVIE,5,17,22
TEST,6,16,22
(G)THANKSGIVING,1,21,22
LATER,2,20,22
BLUE+fs-BERRY,2,20,22
SECRETARY,3,19,22
PAPER,4,18,22
SCHOOL,3,19,22
CHECK,5,17,22
THURSDAY,4,18,22
BAD,6,16,22
TABLE,1,21,22
WHITE,2,20,22
HELLO,9,13,22
EXPERT,11,11,22
REPLACE,13,9,22
DROP,7,15,22
WHITE+CHALK,2,20,22
RESEARCH,9,13,22
CONVINCE,7,15,22
DOWN,9,13,22
DRY,9,13,22
HALLOWEEN,8,14,22
HIT,9,13,22
DEVELOP,10,12,22
MAKE,6,15,21
EAT+BUY,2,19,21
HAIR,4,17,21
BETTER,8,13,21
SECRET,7,14,21
GIRL+FRIEND,6,15,21
COP,11,10,21
GAME,6,15,21
BANANA,6,15,21
CAMP,11,10,21
CHRISTMAS,6,15,21
COLLEGE,5,16,21
FAT,6,15,21
WRITE,4,17,21
WHY,4,17,21
CAR,8,13,21
READ,4,17,21
BOSS,10,11,21
BLAME,10,11,21
CLASS+BOX/ROOM,4,17,21
BORROW/LEND,10,11,21
ISLAND/INTEREST,10,11,21
PLAY+AGENT,2,19,21
SHAPE/STATUE,8,13,21
IN,10,11,21
HEADACHE,4,17,21
PAPER+SQUARE,3,18,21
VOTE,7,14,21
THROW,7,14,21
GIRL,6,15,21
ALONE,8,13,21
PLAY+GROUND,2,19,21
FIRST,5,16,21
COLLECT,14,7,21
WRITE+AGENT,4,17,21
FOOTBALL,6,15,21
WATER+WATER-RISE,3,18,21
CHILD,8,13,21
SHELF/FLOOR,12,9,21
ENTER,9,12,21
HOUSE,6,15,21
COUCH,11,10,21
AVOID/FALL-BEHIND,8,13,21
MATCH,7,14,21
GOOD/THANK-YOU,5,16,21
FIGHT,8,13,21
STORY,9,12,21
CENTER,6,15,21
EGG,7,14,21
HAMMER,9,12,21
COUGH,6,14,20
EAST,6,14,20
MORE,5,15,20
"TIME+\WHAT\""""",1,19,20
FLAG,8,12,20
CHEESE,6,14,20
BROTHER+LAW,3,17,20
MOST,5,15,20
HAPPEN,7,13,20
CAT+fs-UP,3,17,20
PATIENT,6,14,20
IMPROVE,6,14,20
SLEEP,6,14,20
LAW,6,14,20
PAPER+CLIP,2,18,20
BACKPACK,3,17,20
SISTER,6,14,20
KILL,6,14,20
SICK,3,17,20
SHOW+AGENT,3,17,20
HEART+ATTACK,6,14,20
HOUR,6,14,20
VISIT,2,18,20
DRIVE,5,15,20
TIME,1,19,20
HERE,5,15,20
DAY,5,15,20
WHERE,5,15,20
WIFE,2,18,20
LIE,8,12,20
COOK/KITCHEN+BOX/ROOM,2,18,20
VISIT+AGENT,2,18,20
