Word,Video_Count
book,40
drink,35
computer,30
before,26
chair,26
go,26
clothes,25
who,25
candy,24
cousin,23
deaf,23
walk,22
yes,22
year,22
help,22
thin,22
no,22
fine,22
mother,21
what,21
thanksgiving,21
table,21
orange,21
now,21
woman,21
many,21
hot,21
finish,21
cool,21
black,21
all,21
like,21
hearing,20
wrong,20
white,20
tall,20
study,20
shirt,20
man,20
language,20
kiss,20
later,20
hat,20
fish,20
family,20
dog,20
can,20
bowling,20
blue,20
bed,20
graduate,20
school,19
meet,19
pink,19
pizza,19
play,19
work,19
secretary,19
short,19
time,19
want,19
give,19
last,19
eat,19
forget,19
corn,19
enjoy,19
apple,19
bird,19
color,19
change,19
cow,19
dance,19
dark,19
doctor,19
accident,19
tell,18
paper,18
purple,18
right,18
same,18
son,18
wife,18
thursday,18
visit,18
wait,18
water,18
need,18
yellow,18
paint,18
pull,18
medicine,18
cheat,18
letter,18
africa,18
basketball,18
brown,18
but,18
birthday,18
city,18
cook,18
decide,18
full,18
how,18
jacket,18
take,17
read,17
red,17
room,17
run,17
show,17
sick,17
snow,17
yesterday,17
tea,17
teacher,17
week,17
why,17
with,17
write,17
movie,17
rabbit,17
cat,17
learn,17
door,17
backpack,17
bar,17
brother,17
class,17
cry,17
different,17
check,17
green,17
hair,17
have,17
headache,17
inform,17
knife,17
laugh,17
remember,16
leave,16
list,16
lose,16
name,16
old,16
person,16
police,16
problem,16
trade,16
soon,16
stay,16
sunday,16
test,16
tired,16
know,16
travel,16
window,16
you,16
late,16
share,16
home,16
cold,16
happy,16
bad,16
ball,16
bathroom,16
blanket,16
buy,16
call,16
coffee,16
again,16
college,16
cute,16
daughter,16
far,16
first,16
friend,16
copy,16
good,16
order,15
practice,15
please,15
plan,15
pencil,15
past,15
party,15
pants,15
new,15
office,15
none,15
music,15
most,15
more,15
mean,15
make,15
restaurant,15
president,15
student,15
ride,15
theory,15
light,15
your,15
where,15
war,15
ugly,15
train,15
tomato,15
teach,15
russia,15
south,15
some,15
small,15
since,15
sign,15
sandwich,15
salt,15
live,15
feel,15
join,15
business,15
close,15
clock,15
christmas,15
children,15
chat,15
center,15
careful,15
because,15
country,15
beard,15
banana,15
balance,15
arrive,15
approve,15
about,15
interest,15
convince,15
boy,15
crash,15
future,15
day,15
house,15
hope,15
here,15
government,15
girl,15
game,15
hear,15
husband,15
example,15
fat,15
drop,15
drive,15
dress,15
football,15
discuss,15
scissors,14
sad,14
saturday,14
save,14
sister,14
secret,14
shoes,14
silly,14
potato,14
shop,14
noon,14
perspective,14
patient,14
ok,14
off,14
nurse,14
not,14
north,14
niece,14
nice,14
sorry,14
sleep,14
wet,14
straight,14
voice,14
word,14
win,14
which,14
when,14
near,14
west,14
wednesday,14
vote,14
vomit,14
use,14
sweet,14
understand,14
traffic,14
today,14
throw,14
think,14
thank you,14
tent,14
temperature,14
talk,14
nephew,14
pay,14
move,14
egg,14
east,14
draw,14
divorce,14
disappear,14
delicious,14
delay,14
crazy,14
cough,14
cheese,14
champion,14
cereal,14
catch,14
behind,14
bath,14
bake,14
back,14
baby,14
argue,14
animal,14
always,14
moon,14
easy,14
bring,14
environment,14
improve,14
month,14
father,14
money,14
milk,14
meat,14
law,14
kill,14
jump,14
internet,14
match,14
hurry,14
fault,14
humble,14
hour,14
heart,14
hard,14
halloween,14
glasses,14
friendly,14
flower,14
night,13
onion,13
people,13
pepper,13
phone,13
picture,13
poor,13
plus,13
point,13
rain,13
possible,13
quiet,13
never,13
newspaper,13
lettuce,13
necklace,13
motorcycle,13
morning,13
monkey,13
miss,13
mirror,13
minute,13
meeting,13
marry,13
lemon,13
last year,13
large,13
research,13
ready,13
tree,13
scared,13
science,13
king,13
weekend,13
weather,13
vacation,13
uncle,13
truck,13
transfer,13
town,13
tomorrow,13
toilet,13
tiger,13
there,13
surgery,13
sunset,13
stubborn,13
struggle,13
stink,13
star,13
speech,13
soda,13
soap,13
snake,13
slow,13
sit,13
shape,13
sentence,13
score,13
kitchen,13
toast,13
jealous,13
deer,13
decorate,13
cut,13
cup,13
cookie,13
church,13
choose,13
child,13
chicken,13
car,13
cafeteria,13
bread,13
bracelet,13
box,13
bowl,13
bored,13
blind,13
better,13
believe,13
bear,13
basement,13
balloon,13
avoid,13
australia,13
appointment,13
alone,13
age,13
japan,13
deep,13
afternoon,13
dentist,13
find,13
dirty,13
investigate,13
important,13
idea,13
hospital,13
hit,13
happen,13
get,13
from,13
follow,13
fly,13
floor,13
fishing,13
hello,13
fight,13
earring,13
dive,13
fast,13
down,13
dry,13
earn,13
ear,13
elephant,13
english,13
escape,13
expensive,13
explain,13
power,12
reason,12
present,12
price,12
prison,12
postpone,12
push,12
raccoon,12
really,12
schedule,12
religion,12
respect,12
rule,12
salad,12
sell,12
serious,12
pig,12
shower,12
polite,12
lazy,12
peach,12
lobster,12
smart,12
hungry,12
hurt,12
introduce,12
invest,12
library,12
lie,12
love,12
outside,12
lucky,12
measure,12
microwave,12
my,12
neighbor,12
number,12
one,12
single,12
watch,12
smile,12
high,12
thirsty,12
ticket,12
top,12
tuesday,12
turkey,12
university,12
until,12
weak,12
themselves,12
wedding,12
will,12
wind,12
world,12
worry,12
wow,12
young,12
therapy,12
that,12
soft,12
strange,12
sound,12
soup,12
spain,12
spray,12
squirrel,12
stomach,12
story,12
street,12
tease,12
stress,12
strict,12
strong,12
sugar,12
summer,12
suspect,12
sweetheart,12
history,12
magazine,12
helicopter,12
beer,12
bitter,12
both,12
cake,12
california,12
canada,12
carrot,12
cause,12
challenge,12
cheap,12
chocolate,12
clean,12
cloud,12
compare,12
complex,12
contact,12
continue,12
corner,12
belt,12
bedroom,12
curse,12
bark,12
accept,12
hammer,12
adult,12
after,12
ago,12
allow,12
america,12
angel,12
answer,12
any,12
area,12
art,12
asl,12
aunt,12
awful,12
awkward,12
bacon,12
correct,12
big,12
dead,12
face,12
feed,12
few,12
flag,12
food,12
for,12
form,12
friday,12
front,12
giraffe,12
god,12
grammar,12
grandfather,12
